,context,question,source_sentence,res
247,"football gameday traditions during home games , activities occur all around campus and different dorms decorate their halls with a traditional item -lrb- e.g. zahm house 's two-story banner -rrb- . traditional activities begin at the stroke of midnight with the drummers ' circle . this tradition involves the drum line of the band of the fighting irish and ushers in the rest of the festivities that will continue the rest of the gameday saturday . later that day , the trumpet section will play the notre dame victory march and the notre dame alma mater under the dome . the band entire will play a concert at the steps of bond hall , from where they will march into notre dame stadium , leading fans and students alike across campus to the game .",what songs does the trumpet section of the band of the fighting irish play preceding home football games ?,"later that day , the trumpet section will play the notre dame victory march and the notre dame alma mater under the dome . "," what is the name of the trumpet section 's concert ?

"
248,"football gameday traditions during home games , activities occur all around campus and different dorms decorate their halls with a traditional item -lrb- e.g. zahm house 's two-story banner -rrb- . traditional activities begin at the stroke of midnight with the drummers ' circle . this tradition involves the drum line of the band of the fighting irish and ushers in the rest of the festivities that will continue the rest of the gameday saturday . later that day , the trumpet section will play the notre dame victory march and the notre dame alma mater under the dome . the band entire will play a concert at the steps of bond hall , from where they will march into notre dame stadium , leading fans and students alike across campus to the game .",on what day do notre dame home football games occur ?,this tradition involves the drum line of the band of the fighting irish and ushers in the rest of the festivities that will continue the rest of the gameday saturday . ," what is the drummers ' circle ?

"
249,"the men 's basketball team has over 1,600 wins , one of only 12 schools who have reached that mark , and have appeared in 28 ncaa tournaments . former player austin carr holds the record for most points scored in a single game of the tournament with 61 . although the team has never won the ncaa tournament , they were named by the helms athletic foundation as national champions twice . the team has orchestrated a number of upsets of number one ranked teams , the most notable of which was ending ucla 's record 88-game winning streak in 1974 . the team has beaten an additional eight number-one teams , and those nine wins rank second , to ucla 's 10 , all-time in wins against the top team . the team plays in newly renovated purcell pavilion -lrb- within the edmund p. joyce center -rrb- , which reopened for the beginning of the 2009 -- 2010 season . the team is coached by mike brey , who , as of the 2014 -- 15 season , his fifteenth at notre dame , has achieved a 332-165 record . in 2009 they were invited to the nit , where they advanced to the semifinals but were beaten by penn state who went on and beat baylor in the championship . the 2010 -- 11 team concluded its regular season ranked number seven in the country , with a record of 25 -- 5 , brey 's fifth straight 20-win season , and a second-place finish in the big east . during the 2014-15 season , the team went 32-6 and won the acc conference tournament , later advancing to the elite 8 , where the fighting irish lost on a missed buzzer-beater against then undefeated kentucky . led by nba draft picks jerian grant and pat connaughton , the fighting irish beat the eventual national champion duke blue devils twice during the season . the 32 wins were the most by the fighting irish team since 1908-09 .",how many wins does the notre dame men 's basketball team have ?,"the men 's basketball team has over 1,600 wins , one of only 12 schools who have reached that mark , and have appeared in 28 ncaa tournaments . "," how many ncaa tournaments has the notre dame men 's basketball team appeared in ?

"
250,"the men 's basketball team has over 1,600 wins , one of only 12 schools who have reached that mark , and have appeared in 28 ncaa tournaments . former player austin carr holds the record for most points scored in a single game of the tournament with 61 . although the team has never won the ncaa tournament , they were named by the helms athletic foundation as national champions twice . the team has orchestrated a number of upsets of number one ranked teams , the most notable of which was ending ucla 's record 88-game winning streak in 1974 . the team has beaten an additional eight number-one teams , and those nine wins rank second , to ucla 's 10 , all-time in wins against the top team . the team plays in newly renovated purcell pavilion -lrb- within the edmund p. joyce center -rrb- , which reopened for the beginning of the 2009 -- 2010 season . the team is coached by mike brey , who , as of the 2014 -- 15 season , his fifteenth at notre dame , has achieved a 332-165 record . in 2009 they were invited to the nit , where they advanced to the semifinals but were beaten by penn state who went on and beat baylor in the championship . the 2010 -- 11 team concluded its regular season ranked number seven in the country , with a record of 25 -- 5 , brey 's fifth straight 20-win season , and a second-place finish in the big east . during the 2014-15 season , the team went 32-6 and won the acc conference tournament , later advancing to the elite 8 , where the fighting irish lost on a missed buzzer-beater against then undefeated kentucky . led by nba draft picks jerian grant and pat connaughton , the fighting irish beat the eventual national champion duke blue devils twice during the season . the 32 wins were the most by the fighting irish team since 1908-09 .",how many schools have a similar men 's basketball record to notre dame in terms of wins ?,"the men 's basketball team has over 1,600 wins , one of only 12 schools who have reached that mark , and have appeared in 28 ncaa tournaments . "," how many ncaa tournaments has the notre dame men 's basketball team appeared in ?

"
251,"the men 's basketball team has over 1,600 wins , one of only 12 schools who have reached that mark , and have appeared in 28 ncaa tournaments . former player austin carr holds the record for most points scored in a single game of the tournament with 61 . although the team has never won the ncaa tournament , they were named by the helms athletic foundation as national champions twice . the team has orchestrated a number of upsets of number one ranked teams , the most notable of which was ending ucla 's record 88-game winning streak in 1974 . the team has beaten an additional eight number-one teams , and those nine wins rank second , to ucla 's 10 , all-time in wins against the top team . the team plays in newly renovated purcell pavilion -lrb- within the edmund p. joyce center -rrb- , which reopened for the beginning of the 2009 -- 2010 season . the team is coached by mike brey , who , as of the 2014 -- 15 season , his fifteenth at notre dame , has achieved a 332-165 record . in 2009 they were invited to the nit , where they advanced to the semifinals but were beaten by penn state who went on and beat baylor in the championship . the 2010 -- 11 team concluded its regular season ranked number seven in the country , with a record of 25 -- 5 , brey 's fifth straight 20-win season , and a second-place finish in the big east . during the 2014-15 season , the team went 32-6 and won the acc conference tournament , later advancing to the elite 8 , where the fighting irish lost on a missed buzzer-beater against then undefeated kentucky . led by nba draft picks jerian grant and pat connaughton , the fighting irish beat the eventual national champion duke blue devils twice during the season . the 32 wins were the most by the fighting irish team since 1908-09 .",how many ncaa tournaments did the notre dame men 's basketball team take part in ?,"the men 's basketball team has over 1,600 wins , one of only 12 schools who have reached that mark , and have appeared in 28 ncaa tournaments . "," how many ncaa tournaments has the notre dame men 's basketball team appeared in ?

"
252,"the men 's basketball team has over 1,600 wins , one of only 12 schools who have reached that mark , and have appeared in 28 ncaa tournaments . former player austin carr holds the record for most points scored in a single game of the tournament with 61 . although the team has never won the ncaa tournament , they were named by the helms athletic foundation as national champions twice . the team has orchestrated a number of upsets of number one ranked teams , the most notable of which was ending ucla 's record 88-game winning streak in 1974 . the team has beaten an additional eight number-one teams , and those nine wins rank second , to ucla 's 10 , all-time in wins against the top team . the team plays in newly renovated purcell pavilion -lrb- within the edmund p. joyce center -rrb- , which reopened for the beginning of the 2009 -- 2010 season . the team is coached by mike brey , who , as of the 2014 -- 15 season , his fifteenth at notre dame , has achieved a 332-165 record . in 2009 they were invited to the nit , where they advanced to the semifinals but were beaten by penn state who went on and beat baylor in the championship . the 2010 -- 11 team concluded its regular season ranked number seven in the country , with a record of 25 -- 5 , brey 's fifth straight 20-win season , and a second-place finish in the big east . during the 2014-15 season , the team went 32-6 and won the acc conference tournament , later advancing to the elite 8 , where the fighting irish lost on a missed buzzer-beater against then undefeated kentucky . led by nba draft picks jerian grant and pat connaughton , the fighting irish beat the eventual national champion duke blue devils twice during the season . the 32 wins were the most by the fighting irish team since 1908-09 .",which notre dame men 's basketball player has the record for more points in one game ?,former player austin carr holds the record for most points scored in a single game of the tournament with 61 . ," who holds the record for most points scored in a single game of the tournament ?

"
253,"the men 's basketball team has over 1,600 wins , one of only 12 schools who have reached that mark , and have appeared in 28 ncaa tournaments . former player austin carr holds the record for most points scored in a single game of the tournament with 61 . although the team has never won the ncaa tournament , they were named by the helms athletic foundation as national champions twice . the team has orchestrated a number of upsets of number one ranked teams , the most notable of which was ending ucla 's record 88-game winning streak in 1974 . the team has beaten an additional eight number-one teams , and those nine wins rank second , to ucla 's 10 , all-time in wins against the top team . the team plays in newly renovated purcell pavilion -lrb- within the edmund p. joyce center -rrb- , which reopened for the beginning of the 2009 -- 2010 season . the team is coached by mike brey , who , as of the 2014 -- 15 season , his fifteenth at notre dame , has achieved a 332-165 record . in 2009 they were invited to the nit , where they advanced to the semifinals but were beaten by penn state who went on and beat baylor in the championship . the 2010 -- 11 team concluded its regular season ranked number seven in the country , with a record of 25 -- 5 , brey 's fifth straight 20-win season , and a second-place finish in the big east . during the 2014-15 season , the team went 32-6 and won the acc conference tournament , later advancing to the elite 8 , where the fighting irish lost on a missed buzzer-beater against then undefeated kentucky . led by nba draft picks jerian grant and pat connaughton , the fighting irish beat the eventual national champion duke blue devils twice during the season . the 32 wins were the most by the fighting irish team since 1908-09 .",who was the notre dame men 's basketball coach in 2014 ?,"the team is coached by mike brey , who , as of the 2014 -- 15 season , his fifteenth at notre dame , has achieved a 332-165 record . "," who is the head coach of the notre dame men 's basketball team ?

"
254,"the `` notre dame victory march '' is the fight song for the university of notre dame . it was written by two brothers who were notre dame graduates . the rev. michael j. shea , a 1904 graduate , wrote the music , and his brother , john f. shea , who earned degrees in 1906 and 1908 , wrote the original lyrics . the lyrics were revised in the 1920s ; it first appeared under the copyright of the university of notre dame in 1928 . the chorus is , `` cheer cheer for old notre dame , wake up the echos cheering her name . send a volley cheer on high , shake down the thunder from the sky ! what though the odds be great or small , old notre dame will win over all . while her loyal sons are marching , onward to victory ! ''",who wrote the original lyrics to the notre dame victory march ?,"the rev. michael j. shea , a 1904 graduate , wrote the music , and his brother , john f. shea , who earned degrees in 1906 and 1908 , wrote the original lyrics . "," who wrote the original lyrics for the notre dame victory march ?

"
255,"the `` notre dame victory march '' is the fight song for the university of notre dame . it was written by two brothers who were notre dame graduates . the rev. michael j. shea , a 1904 graduate , wrote the music , and his brother , john f. shea , who earned degrees in 1906 and 1908 , wrote the original lyrics . the lyrics were revised in the 1920s ; it first appeared under the copyright of the university of notre dame in 1928 . the chorus is , `` cheer cheer for old notre dame , wake up the echos cheering her name . send a volley cheer on high , shake down the thunder from the sky ! what though the odds be great or small , old notre dame will win over all . while her loyal sons are marching , onward to victory ! ''",in what year did michael j. shea graduate from notre dame ?,"the rev. michael j. shea , a 1904 graduate , wrote the music , and his brother , john f. shea , who earned degrees in 1906 and 1908 , wrote the original lyrics . "," who wrote the original lyrics for the notre dame victory march ?

"
256,"the `` notre dame victory march '' is the fight song for the university of notre dame . it was written by two brothers who were notre dame graduates . the rev. michael j. shea , a 1904 graduate , wrote the music , and his brother , john f. shea , who earned degrees in 1906 and 1908 , wrote the original lyrics . the lyrics were revised in the 1920s ; it first appeared under the copyright of the university of notre dame in 1928 . the chorus is , `` cheer cheer for old notre dame , wake up the echos cheering her name . send a volley cheer on high , shake down the thunder from the sky ! what though the odds be great or small , old notre dame will win over all . while her loyal sons are marching , onward to victory ! ''",who is responsible for writing the music for `` notre dame victory march ? '',"the rev. michael j. shea , a 1904 graduate , wrote the music , and his brother , john f. shea , who earned degrees in 1906 and 1908 , wrote the original lyrics . "," who wrote the original lyrics for the notre dame victory march ?

"
257,"the `` notre dame victory march '' is the fight song for the university of notre dame . it was written by two brothers who were notre dame graduates . the rev. michael j. shea , a 1904 graduate , wrote the music , and his brother , john f. shea , who earned degrees in 1906 and 1908 , wrote the original lyrics . the lyrics were revised in the 1920s ; it first appeared under the copyright of the university of notre dame in 1928 . the chorus is , `` cheer cheer for old notre dame , wake up the echos cheering her name . send a volley cheer on high , shake down the thunder from the sky ! what though the odds be great or small , old notre dame will win over all . while her loyal sons are marching , onward to victory ! ''",in what year did `` notre dame victory march '' get copyrighted ?,the lyrics were revised in the 1920s ; it first appeared under the copyright of the university of notre dame in 1928 . ," when was the notre dame victory march copyrighted ?

"
258,"the `` notre dame victory march '' is the fight song for the university of notre dame . it was written by two brothers who were notre dame graduates . the rev. michael j. shea , a 1904 graduate , wrote the music , and his brother , john f. shea , who earned degrees in 1906 and 1908 , wrote the original lyrics . the lyrics were revised in the 1920s ; it first appeared under the copyright of the university of notre dame in 1928 . the chorus is , `` cheer cheer for old notre dame , wake up the echos cheering her name . send a volley cheer on high , shake down the thunder from the sky ! what though the odds be great or small , old notre dame will win over all . while her loyal sons are marching , onward to victory ! ''",to where are the loyal sons in `` notre dame fight song '' marching ?,"while her loyal sons are marching , onward to victory ! '' "," what is the last line of the notre dame victory march ?

"
259,"in the film knute rockne , all american , knute rockne -lrb- played by pat o'brien -rrb- delivers the famous `` win one for the gipper '' speech , at which point the background music swells with the `` notre dame victory march '' . george gipp was played by ronald reagan , whose nickname `` the gipper '' was derived from this role . this scene was parodied in the movie airplane ! with the same background music , only this time honoring george zipp , one of ted striker 's former comrades . the song also was prominent in the movie rudy , with sean astin as daniel `` rudy '' ruettiger , who harbored dreams of playing football at the university of notre dame despite significant obstacles .","ronald reagan had a nickname , what was it ?","george gipp was played by ronald reagan , whose nickname `` the gipper '' was derived from this role . "," who played george gipp in the film knute rockne , all american ?

"
260,"in the film knute rockne , all american , knute rockne -lrb- played by pat o'brien -rrb- delivers the famous `` win one for the gipper '' speech , at which point the background music swells with the `` notre dame victory march '' . george gipp was played by ronald reagan , whose nickname `` the gipper '' was derived from this role . this scene was parodied in the movie airplane ! with the same background music , only this time honoring george zipp , one of ted striker 's former comrades . the song also was prominent in the movie rudy , with sean astin as daniel `` rudy '' ruettiger , who harbored dreams of playing football at the university of notre dame despite significant obstacles .",in what film did a parody of the `` win one for the gipper '' speech appear ?,this scene was parodied in the movie airplane ! ," what movie parodied the `` win one for the gipper '' speech ?

"
261,"in the film knute rockne , all american , knute rockne -lrb- played by pat o'brien -rrb- delivers the famous `` win one for the gipper '' speech , at which point the background music swells with the `` notre dame victory march '' . george gipp was played by ronald reagan , whose nickname `` the gipper '' was derived from this role . this scene was parodied in the movie airplane ! with the same background music , only this time honoring george zipp , one of ted striker 's former comrades . the song also was prominent in the movie rudy , with sean astin as daniel `` rudy '' ruettiger , who harbored dreams of playing football at the university of notre dame despite significant obstacles .",who starred as daniel ruettiger in the film rudy ?,"the song also was prominent in the movie rudy , with sean astin as daniel `` rudy '' ruettiger , who harbored dreams of playing football at the university of notre dame despite significant obstacles . "," what movie featured the notre dame victory march ?

"
262,"in the film knute rockne , all american , knute rockne -lrb- played by pat o'brien -rrb- delivers the famous `` win one for the gipper '' speech , at which point the background music swells with the `` notre dame victory march '' . george gipp was played by ronald reagan , whose nickname `` the gipper '' was derived from this role . this scene was parodied in the movie airplane ! with the same background music , only this time honoring george zipp , one of ted striker 's former comrades . the song also was prominent in the movie rudy , with sean astin as daniel `` rudy '' ruettiger , who harbored dreams of playing football at the university of notre dame despite significant obstacles .",which person was a former comrade to ted striker in the film airplane !?,"with the same background music , only this time honoring george zipp , one of ted striker 's former comrades . "," what movie parodied the `` win one for the gipper '' speech ?

"
263,"in the film knute rockne , all american , knute rockne -lrb- played by pat o'brien -rrb- delivers the famous `` win one for the gipper '' speech , at which point the background music swells with the `` notre dame victory march '' . george gipp was played by ronald reagan , whose nickname `` the gipper '' was derived from this role . this scene was parodied in the movie airplane ! with the same background music , only this time honoring george zipp , one of ted striker 's former comrades . the song also was prominent in the movie rudy , with sean astin as daniel `` rudy '' ruettiger , who harbored dreams of playing football at the university of notre dame despite significant obstacles .",pat o'brien portrayed which person in the film knute rockne ?,"in the film knute rockne , all american , knute rockne -lrb- played by pat o'brien -rrb- delivers the famous `` win one for the gipper '' speech , at which point the background music swells with the `` notre dame victory march '' . "," what song is played in the movie knute rockne , all american ?

"
264,"notre dame alumni work in various fields . alumni working in political fields include state governors , members of the united states congress , and former united states secretary of state condoleezza rice . a notable alumnus of the college of science is medicine nobel prize winner eric f. wieschaus . a number of university heads are alumni , including notre dame 's current president , the rev. john jenkins . additionally , many alumni are in the media , including talk show hosts regis philbin and phil donahue , and television and radio personalities such as mike golic and hannah storm . with the university having high profile sports teams itself , a number of alumni went on to become involved in athletics outside the university , including professional baseball , basketball , football , and ice hockey players , such as joe theismann , joe montana , tim brown , ross browner , rocket ismail , ruth riley , jeff samardzija , jerome bettis , brett lebda , olympic gold medalist mariel zagunis , professional boxer mike lee , former football coaches such as charlie weis , frank leahy and knute rockne , and basketball hall of famers austin carr and adrian dantley . other notable alumni include prominent businessman edward j. debartolo , jr. and astronaut jim wetherbee .",which secretary of state attended notre dame ?,"alumni working in political fields include state governors , members of the united states congress , and former united states secretary of state condoleezza rice . "," what political positions have notre dame alumni held ?

"
265,"notre dame alumni work in various fields . alumni working in political fields include state governors , members of the united states congress , and former united states secretary of state condoleezza rice . a notable alumnus of the college of science is medicine nobel prize winner eric f. wieschaus . a number of university heads are alumni , including notre dame 's current president , the rev. john jenkins . additionally , many alumni are in the media , including talk show hosts regis philbin and phil donahue , and television and radio personalities such as mike golic and hannah storm . with the university having high profile sports teams itself , a number of alumni went on to become involved in athletics outside the university , including professional baseball , basketball , football , and ice hockey players , such as joe theismann , joe montana , tim brown , ross browner , rocket ismail , ruth riley , jeff samardzija , jerome bettis , brett lebda , olympic gold medalist mariel zagunis , professional boxer mike lee , former football coaches such as charlie weis , frank leahy and knute rockne , and basketball hall of famers austin carr and adrian dantley . other notable alumni include prominent businessman edward j. debartolo , jr. and astronaut jim wetherbee .",which notre dame alum from the college of science won a nobel prize ?,a notable alumnus of the college of science is medicine nobel prize winner eric f. wieschaus . ," who is a notable alumnus of the college of science ?

"
266,"notre dame alumni work in various fields . alumni working in political fields include state governors , members of the united states congress , and former united states secretary of state condoleezza rice . a notable alumnus of the college of science is medicine nobel prize winner eric f. wieschaus . a number of university heads are alumni , including notre dame 's current president , the rev. john jenkins . additionally , many alumni are in the media , including talk show hosts regis philbin and phil donahue , and television and radio personalities such as mike golic and hannah storm . with the university having high profile sports teams itself , a number of alumni went on to become involved in athletics outside the university , including professional baseball , basketball , football , and ice hockey players , such as joe theismann , joe montana , tim brown , ross browner , rocket ismail , ruth riley , jeff samardzija , jerome bettis , brett lebda , olympic gold medalist mariel zagunis , professional boxer mike lee , former football coaches such as charlie weis , frank leahy and knute rockne , and basketball hall of famers austin carr and adrian dantley . other notable alumni include prominent businessman edward j. debartolo , jr. and astronaut jim wetherbee .",who is the current president of notre dame ?,"a number of university heads are alumni , including notre dame 's current president , the rev. john jenkins . "," who is the current president of notre dame ?

"
267,"notre dame alumni work in various fields . alumni working in political fields include state governors , members of the united states congress , and former united states secretary of state condoleezza rice . a notable alumnus of the college of science is medicine nobel prize winner eric f. wieschaus . a number of university heads are alumni , including notre dame 's current president , the rev. john jenkins . additionally , many alumni are in the media , including talk show hosts regis philbin and phil donahue , and television and radio personalities such as mike golic and hannah storm . with the university having high profile sports teams itself , a number of alumni went on to become involved in athletics outside the university , including professional baseball , basketball , football , and ice hockey players , such as joe theismann , joe montana , tim brown , ross browner , rocket ismail , ruth riley , jeff samardzija , jerome bettis , brett lebda , olympic gold medalist mariel zagunis , professional boxer mike lee , former football coaches such as charlie weis , frank leahy and knute rockne , and basketball hall of famers austin carr and adrian dantley . other notable alumni include prominent businessman edward j. debartolo , jr. and astronaut jim wetherbee .",mariel zagunis is notable for winning what ?,"with the university having high profile sports teams itself , a number of alumni went on to become involved in athletics outside the university , including professional baseball , basketball , football , and ice hockey players , such as joe theismann , joe montana , tim brown , ross browner , rocket ismail , ruth riley , jeff samardzija , jerome bettis , brett lebda , olympic gold medalist mariel zagunis , professional boxer mike lee , former football coaches such as charlie weis , frank leahy and knute rockne , and basketball hall of famers austin carr and adrian dantley . "," what sports did notre dame alumni play ?

"
268,"notre dame alumni work in various fields . alumni working in political fields include state governors , members of the united states congress , and former united states secretary of state condoleezza rice . a notable alumnus of the college of science is medicine nobel prize winner eric f. wieschaus . a number of university heads are alumni , including notre dame 's current president , the rev. john jenkins . additionally , many alumni are in the media , including talk show hosts regis philbin and phil donahue , and television and radio personalities such as mike golic and hannah storm . with the university having high profile sports teams itself , a number of alumni went on to become involved in athletics outside the university , including professional baseball , basketball , football , and ice hockey players , such as joe theismann , joe montana , tim brown , ross browner , rocket ismail , ruth riley , jeff samardzija , jerome bettis , brett lebda , olympic gold medalist mariel zagunis , professional boxer mike lee , former football coaches such as charlie weis , frank leahy and knute rockne , and basketball hall of famers austin carr and adrian dantley . other notable alumni include prominent businessman edward j. debartolo , jr. and astronaut jim wetherbee .",which notable astronaut is known to have attended notre dame ?,"other notable alumni include prominent businessman edward j. debartolo , jr. and astronaut jim wetherbee . "," who are some notable alumni of notre dame ?

"
269,"beyoncé giselle knowles-carter -lrb- / biːˈjɒnseɪ / bee-yon-say -rrb- -lrb- born september 4 , 1981 -rrb- is an american singer , songwriter , record producer and actress . born and raised in houston , texas , she performed in various singing and dancing competitions as a child , and rose to fame in the late 1990s as lead singer of r&b girl-group destiny 's child . managed by her father , mathew knowles , the group became one of the world 's best-selling girl groups of all time . their hiatus saw the release of beyoncé 's debut album , dangerously in love -lrb- 2003 -rrb- , which established her as a solo artist worldwide , earned five grammy awards and featured the billboard hot 100 number-one singles `` crazy in love '' and `` baby boy '' .",when did beyonce start becoming popular ?,"born and raised in houston , texas , she performed in various singing and dancing competitions as a child , and rose to fame in the late 1990s as lead singer of r&b girl-group destiny 's child . "," where was beyoncé born and raised ?

"
270,"beyoncé giselle knowles-carter -lrb- / biːˈjɒnseɪ / bee-yon-say -rrb- -lrb- born september 4 , 1981 -rrb- is an american singer , songwriter , record producer and actress . born and raised in houston , texas , she performed in various singing and dancing competitions as a child , and rose to fame in the late 1990s as lead singer of r&b girl-group destiny 's child . managed by her father , mathew knowles , the group became one of the world 's best-selling girl groups of all time . their hiatus saw the release of beyoncé 's debut album , dangerously in love -lrb- 2003 -rrb- , which established her as a solo artist worldwide , earned five grammy awards and featured the billboard hot 100 number-one singles `` crazy in love '' and `` baby boy '' .",what areas did beyonce compete in when she was growing up ?,"born and raised in houston , texas , she performed in various singing and dancing competitions as a child , and rose to fame in the late 1990s as lead singer of r&b girl-group destiny 's child . "," where was beyoncé born and raised ?

"
271,"beyoncé giselle knowles-carter -lrb- / biːˈjɒnseɪ / bee-yon-say -rrb- -lrb- born september 4 , 1981 -rrb- is an american singer , songwriter , record producer and actress . born and raised in houston , texas , she performed in various singing and dancing competitions as a child , and rose to fame in the late 1990s as lead singer of r&b girl-group destiny 's child . managed by her father , mathew knowles , the group became one of the world 's best-selling girl groups of all time . their hiatus saw the release of beyoncé 's debut album , dangerously in love -lrb- 2003 -rrb- , which established her as a solo artist worldwide , earned five grammy awards and featured the billboard hot 100 number-one singles `` crazy in love '' and `` baby boy '' .",when did beyonce leave destiny 's child and become a solo singer ?,"their hiatus saw the release of beyoncé 's debut album , dangerously in love -lrb- 2003 -rrb- , which established her as a solo artist worldwide , earned five grammy awards and featured the billboard hot 100 number-one singles `` crazy in love '' and `` baby boy '' . "," what was beyoncé 's first solo album ?

"
272,"beyoncé giselle knowles-carter -lrb- / biːˈjɒnseɪ / bee-yon-say -rrb- -lrb- born september 4 , 1981 -rrb- is an american singer , songwriter , record producer and actress . born and raised in houston , texas , she performed in various singing and dancing competitions as a child , and rose to fame in the late 1990s as lead singer of r&b girl-group destiny 's child . managed by her father , mathew knowles , the group became one of the world 's best-selling girl groups of all time . their hiatus saw the release of beyoncé 's debut album , dangerously in love -lrb- 2003 -rrb- , which established her as a solo artist worldwide , earned five grammy awards and featured the billboard hot 100 number-one singles `` crazy in love '' and `` baby boy '' .",in what city and state did beyonce grow up ?,"born and raised in houston , texas , she performed in various singing and dancing competitions as a child , and rose to fame in the late 1990s as lead singer of r&b girl-group destiny 's child . "," where was beyoncé born and raised ?

"
273,"beyoncé giselle knowles-carter -lrb- / biːˈjɒnseɪ / bee-yon-say -rrb- -lrb- born september 4 , 1981 -rrb- is an american singer , songwriter , record producer and actress . born and raised in houston , texas , she performed in various singing and dancing competitions as a child , and rose to fame in the late 1990s as lead singer of r&b girl-group destiny 's child . managed by her father , mathew knowles , the group became one of the world 's best-selling girl groups of all time . their hiatus saw the release of beyoncé 's debut album , dangerously in love -lrb- 2003 -rrb- , which established her as a solo artist worldwide , earned five grammy awards and featured the billboard hot 100 number-one singles `` crazy in love '' and `` baby boy '' .",in which decade did beyonce become famous ?,"born and raised in houston , texas , she performed in various singing and dancing competitions as a child , and rose to fame in the late 1990s as lead singer of r&b girl-group destiny 's child . "," where was beyoncé born and raised ?

"
274,"beyoncé giselle knowles-carter -lrb- / biːˈjɒnseɪ / bee-yon-say -rrb- -lrb- born september 4 , 1981 -rrb- is an american singer , songwriter , record producer and actress . born and raised in houston , texas , she performed in various singing and dancing competitions as a child , and rose to fame in the late 1990s as lead singer of r&b girl-group destiny 's child . managed by her father , mathew knowles , the group became one of the world 's best-selling girl groups of all time . their hiatus saw the release of beyoncé 's debut album , dangerously in love -lrb- 2003 -rrb- , which established her as a solo artist worldwide , earned five grammy awards and featured the billboard hot 100 number-one singles `` crazy in love '' and `` baby boy '' .",in what r&b group was she the lead singer ?,"born and raised in houston , texas , she performed in various singing and dancing competitions as a child , and rose to fame in the late 1990s as lead singer of r&b girl-group destiny 's child . "," where was beyoncé born ?

"
275,"beyoncé giselle knowles-carter -lrb- / biːˈjɒnseɪ / bee-yon-say -rrb- -lrb- born september 4 , 1981 -rrb- is an american singer , songwriter , record producer and actress . born and raised in houston , texas , she performed in various singing and dancing competitions as a child , and rose to fame in the late 1990s as lead singer of r&b girl-group destiny 's child . managed by her father , mathew knowles , the group became one of the world 's best-selling girl groups of all time . their hiatus saw the release of beyoncé 's debut album , dangerously in love -lrb- 2003 -rrb- , which established her as a solo artist worldwide , earned five grammy awards and featured the billboard hot 100 number-one singles `` crazy in love '' and `` baby boy '' .",what album made her a worldwide known artist ?,"their hiatus saw the release of beyoncé 's debut album , dangerously in love -lrb- 2003 -rrb- , which established her as a solo artist worldwide , earned five grammy awards and featured the billboard hot 100 number-one singles `` crazy in love '' and `` baby boy '' . "," what was beyoncé 's first solo album ?

"
276,"beyoncé giselle knowles-carter -lrb- / biːˈjɒnseɪ / bee-yon-say -rrb- -lrb- born september 4 , 1981 -rrb- is an american singer , songwriter , record producer and actress . born and raised in houston , texas , she performed in various singing and dancing competitions as a child , and rose to fame in the late 1990s as lead singer of r&b girl-group destiny 's child . managed by her father , mathew knowles , the group became one of the world 's best-selling girl groups of all time . their hiatus saw the release of beyoncé 's debut album , dangerously in love -lrb- 2003 -rrb- , which established her as a solo artist worldwide , earned five grammy awards and featured the billboard hot 100 number-one singles `` crazy in love '' and `` baby boy '' .",who managed the destiny 's child group ?,"managed by her father , mathew knowles , the group became one of the world 's best-selling girl groups of all time . "," who managed destiny 's child ?

"
277,"beyoncé giselle knowles-carter -lrb- / biːˈjɒnseɪ / bee-yon-say -rrb- -lrb- born september 4 , 1981 -rrb- is an american singer , songwriter , record producer and actress . born and raised in houston , texas , she performed in various singing and dancing competitions as a child , and rose to fame in the late 1990s as lead singer of r&b girl-group destiny 's child . managed by her father , mathew knowles , the group became one of the world 's best-selling girl groups of all time . their hiatus saw the release of beyoncé 's debut album , dangerously in love -lrb- 2003 -rrb- , which established her as a solo artist worldwide , earned five grammy awards and featured the billboard hot 100 number-one singles `` crazy in love '' and `` baby boy '' .",in what city did beyonce grow up ?,"born and raised in houston , texas , she performed in various singing and dancing competitions as a child , and rose to fame in the late 1990s as lead singer of r&b girl-group destiny 's child . "," where was beyoncé born ?

"
278,"beyoncé giselle knowles-carter -lrb- / biːˈjɒnseɪ / bee-yon-say -rrb- -lrb- born september 4 , 1981 -rrb- is an american singer , songwriter , record producer and actress . born and raised in houston , texas , she performed in various singing and dancing competitions as a child , and rose to fame in the late 1990s as lead singer of r&b girl-group destiny 's child . managed by her father , mathew knowles , the group became one of the world 's best-selling girl groups of all time . their hiatus saw the release of beyoncé 's debut album , dangerously in love -lrb- 2003 -rrb- , which established her as a solo artist worldwide , earned five grammy awards and featured the billboard hot 100 number-one singles `` crazy in love '' and `` baby boy '' .",what was the name of beyonce 's first solo album ?,"their hiatus saw the release of beyoncé 's debut album , dangerously in love -lrb- 2003 -rrb- , which established her as a solo artist worldwide , earned five grammy awards and featured the billboard hot 100 number-one singles `` crazy in love '' and `` baby boy '' . "," what was beyoncé 's first solo album ?

"
